GVKEY,TGT_START,GROUND_TRUTH,PREDICTIONS
1440.0,2012-09-01T00:00:00.000000000,"[2.533573627471924, 1.2134451866149902, 1.8295050859451294, 1.8955113887786865]","[1.6668574810028076, 1.6424602270126343, 1.679736852645874, 1.6937130689620972]"
1440.0,2012-12-01T00:00:00.000000000,"[1.2134451866149902, 1.8295050859451294, 1.8955113887786865, 2.4455649852752686]","[1.758334994316101, 1.7886613607406616, 1.7765988111495972, 1.8832213878631592]"
1440.0,2013-03-01T00:00:00.000000000,"[1.8295050859451294, 1.8955113887786865, 2.4455649852752686, 1.455468773841858]","[1.6262404918670654, 1.5853815078735352, 1.5830754041671753, 1.571183204650879]"
1447.0,2006-06-01T00:00:00.000000000,"[2.335554361343384, 2.379558563232422, 1.9835201501846313, 2.5555758476257324]","[1.8231254816055298, 1.7696598768234253, 1.7404249906539917, 1.7161389589309692]"
1447.0,2006-09-01T00:00:00.000000000,"[2.379558563232422, 1.9835201501846313, 2.5555758476257324, 2.42356276512146]","[1.910938024520874, 1.8525259494781494, 1.824847936630249, 1.7962756156921387]"
1447.0,2006-12-01T00:00:00.000000000,"[1.9835201501846313, 2.5555758476257324, 2.42356276512146, 2.027524471282959]","[1.9482637643814087, 1.8941099643707275, 1.858618140220642, 1.8363213539123535]"
1447.0,2007-03-01T00:00:00.000000000,"[2.5555758476257324, 2.42356276512146, 2.027524471282959, 2.0055222511291504]","[1.862642526626587, 1.801025629043579, 1.7586567401885986, 1.7330721616744995]"
1447.0,2007-06-01T00:00:00.000000000,"[2.42356276512146, 2.027524471282959, 2.0055222511291504, 2.4455649852752686]","[2.057300090789795, 2.0342774391174316, 2.023231029510498, 2.035059928894043]"
1447.0,2007-09-01T00:00:00.000000000,"[2.027524471282959, 2.0055222511291504, 2.4455649852752686, 3.919708251953125]","[2.1158034801483154, 2.0760550498962402, 2.0649526119232178, 2.0610191822052]"
1447.0,2007-12-01T00:00:00.000000000,"[2.0055222511291504, 2.4455649852752686, 3.919708251953125, 1.9395159482955933]","[1.9471707344055176, 1.9202897548675537, 1.8834927082061768, 1.8987332582473755]"
1447.0,2008-03-01T00:00:00.000000000,"[2.4455649852752686, 3.919708251953125, 1.9395159482955933, 1.2354472875595093]","[1.9551103115081787, 1.9541445970535278, 1.9499297142028809, 1.9937052726745605]"
1447.0,2008-06-01T00:00:00.000000000,"[3.919708251953125, 1.9395159482955933, 1.2354472875595093, 2.2475459575653076]","[2.1722943782806396, 2.168895959854126, 2.173593521118164, 2.210427761077881]"
1447.0,2008-09-01T00:00:00.000000000,"[1.9395159482955933, 1.2354472875595093, 2.2475459575653076, 2.533573627471924]","[2.8005802631378174, 2.7799901962280273, 2.809872627258301, 2.8197379112243652]"
